term,z,n_high,n_low
water to,1.102557205737754,9,3
fix the,1.102557205737754,9,3
jar,1.102557205737754,9,3
them to,1.102557205737754,9,3
get them,1.102557205737754,9,3
so any,1.102557205737754,9,3
that you,1.102557205737754,9,3
draws,1.102557205737754,9,3
be true,1.102557205737754,9,3
nothing,1.102557205737754,9,3
guaranteed i'll,1.102557205737754,9,3
double my,1.102557205737754,9,3
destroys the,1.102557205737754,9,3
nursery,1.102557205737754,9,3
will replace,1.102557205737754,9,3
buddy,1.102557205737754,9,3
them on,1.102557205737754,9,3
shop said,1.0998637992853713,32,21
need to,1.0958325799109878,110,94
expect,1.0928975996470753,26,16
phone,1.0922127954807106,64,50
green,1.0829909929364492,21,12
olive oil,1.0829909929364492,21,12
olive,1.0829909929364492,21,12
mechanic,1.0796459106348097,170,154
to pay,1.0773550985485691,27,17
an ad,1.0773550985485691,27,17
the video,1.0773550985485691,27,17
microwaving,1.0773506659893812,34,23
follow,1.0691129348079305,96,81
said if,1.0671715216280455,35,24
owner,1.063537874155003,17,9
worried,1.063537874155003,17,9
to replace,1.063035822683608,28,18
offer,1.0623917141980443,22,13
influencer,1.0622182132663147,57,44
shoes,1.0606815225780108,13,6
mother,1.0606815225780108,13,6
all surfaces,1.0606815225780108,13,6
cures hiccups,1.0606815225780108,13,6
proves,1.0606815225780108,13,6
acne,1.0606815225780108,13,6
for minutes,1.043757011712924,23,14
file,1.0389274223852905,10,4
protects,1.0389274223852905,10,4
my skin,1.0389274223852905,10,4
has been,1.0389274223852905,10,4
soak,1.0389274223852905,10,4
will never,1.0389274223852905,10,4
toxins and,1.0389274223852905,10,4
the next,1.0389274223852905,10,4
bigger,1.0389274223852905,10,4
to charge,1.0389274223852905,10,4
hair grow,1.0389274223852905,10,4
from my,1.0389274223852905,10,4
the house,1.0389274223852905,10,4
said putting,1.0389274223852905,10,4
shots,1.0389274223852905,10,4
for her,1.0389274223852905,10,4
essential,1.0389274223852905,10,4
the window,1.0389274223852905,10,4
bathroom,1.0389274223852905,10,4
once,1.0375583542161655,30,20
so minutes,1.0369955143082101,18,10
driving,1.0335328293315083,65,52
burn,1.0268273865322535,24,15
cancer,1.0232683360285217,52,40
near,1.0135184273028326,19,11
says drinking,1.0135184273028326,19,11
fail,1.0113881044508064,25,16
coworker,1.0111506775246681,42,31
after,1.0087176165018013,129,115
proven,1.005133534237531,77,64
is safe,1.0048624852479096,43,32
surfaces,0.9972598052489958,26,17
butter,0.9926144615167319,20,12
the app,0.9926144615167319,20,12
stain,0.9910903533770846,15,8
coworker said,0.9910903533770846,15,8
through the,0.9910903533770846,15,8
safe and,0.9883764514145383,11,5
should buy,0.9883764514145383,11,5
guru,0.9883764514145383,11,5
left,0.9883764514145383,11,5
emergency,0.9883764514145383,11,5
it at,0.9883764514145383,11,5
my tires,0.9883764514145383,11,5
remember,0.9883764514145383,11,5
neighbour said,0.9883764514145383,11,5
the vet,0.9883764514145383,11,5
all sides,0.9883764514145383,11,5
every oil,0.9883764514145383,11,5
plastic is,0.9883764514145383,11,5
detergent,0.9883764514145383,11,5
coffee grounds,0.9883764514145383,11,5
my mother,0.9883764514145383,11,5
body,0.9879739997862647,35,25
on all,0.9799272540234218,36,26
fish,0.9738937116858055,21,13
last,0.9723842406683472,37,27
living room,0.9699529401653526,8,3
to go,0.9699529401653526,8,3
your face,0.9699529401653526,8,3
wall,0.9699529401653526,8,3
so won't,0.9699529401653526,8,3
details,0.9699529401653526,8,3
pill,0.9699529401653526,8,3
use my,0.9699529401653526,8,3
continue,0.9699529401653526,8,3
the standard,0.9699529401653526,8,3
before every,0.9699529401653526,8,3
oil in,0.9699529401653526,8,3
it should,0.9699529401653526,8,3
will cure,0.9699529401653526,8,3
reading,0.9634596344335867,16,9
toothpaste,0.9634596344335867,16,9
so don't,0.9634596344335867,16,9
hot,0.9570429277281414,22,14
means it's,0.9472120106409859,12,6
stretch,0.9472120106409859,12,6
soda and,0.9472120106409859,12,6
leaving,0.9472120106409859,12,6
trip,0.9472120106409859,12,6
in one,0.9472120106409859,12,6
eggs,0.9472120106409859,12,6
surfaces and,0.9472120106409859,12,6
six months,0.9418073030624459,23,15
teeth,0.9418073030624459,23,15
removes,0.9417116523181506,31,22
it always,0.9393910439504503,17,10
ice,0.9393910439504503,17,10
mom,0.9393910439504503,17,10
and it,0.9393910439504503,17,10
okay i'll,0.9338059763713618,110,98
skip the,0.927977262441587,24,16
the coach,0.927977262441587,24,16
oil,0.9277287830944795,180,169
and never,0.9182516153926876,18,11
let,0.9182516153926876,18,11
huge,0.9182516153926876,18,11
one,0.9180450806778694,205,195
microwave safe,0.9153787100747438,25,17
entirely,0.9130346645306247,13,7
spoonful,0.9130346645306247,13,7
uncle says,0.9130346645306247,13,7
alternator,0.9130346645306247,13,7
for every,0.9130346645306247,13,7
dogs,0.9130346645306247,13,7
will fail,0.9130346645306247,13,7
important,0.9130346645306247,13,7
the lid,0.9130346645306247,13,7
stronger,0.9130346645306247,13,7
how it,0.9130346645306247,13,7
tickets,0.9130346645306247,13,7
club,0.9107062086338633,9,4
careful,0.9107062086338633,9,4
phone battery,0.9107062086338633,9,4
only way,0.9107062086338633,9,4
just take,0.9107062086338633,9,4
flight,0.9107062086338633,9,4
is toxic,0.9107062086338633,9,4
the time,0.9107062086338633,9,4
that he,0.9107062086338633,9,4
weekend,0.9107062086338633,9,4
plants,0.9038657191974284,26,18
honey,0.897304395596081,37,28
told,0.8954824603711907,120,109
this,0.8950107393022888,118,107
that but,0.8946729089214553,97,86
agent said,0.8842132797545081,14,8
and just,0.8842132797545081,14,8
box,0.8842132797545081,14,8
every month,0.8842132797545081,14,8
alkaline,0.8842132797545081,14,8
zero,0.8842132797545081,14,8
white,0.882911988099308,20,13
doctor,0.8809899077247957,40,31
thing,0.8746952883104185,29,21
make my,0.8646702791771806,10,5
healing,0.8646702791771806,10,5
my water,0.8646702791771806,10,5
son,0.8646702791771806,10,5
and components,0.8646702791771806,10,5
expert,0.8646702791771806,10,5
stand,0.8646702791771806,10,5
uses,0.8646702791771806,10,5
only the,0.8646702791771806,10,5
and sides,0.8646702791771806,10,5
worker said,0.8646702791771806,10,5
the group,0.8595973957892804,15,9
components,0.8595973957892804,15,9
pads,0.8546396146807357,22,15
aunt,0.8517939988767792,32,24
seller,0.8517939988767792,32,24
is safer,0.8425600669872998,23,16
tiktok,0.8425600669872998,23,16
coffee,0.8415884286531709,51,42
clean,0.8391841347562135,34,26
puffiness,0.8391401512926749,52,43
getting,0.8383504071684009,16,10
knee,0.8383504071684009,16,10
monthly,0.8383504071684009,16,10
skin,0.8282861387519317,36,28
my mum,0.8278552797915351,11,6
is completely,0.8278552797915351,11,6
will fix,0.8278552797915351,11,6
cat,0.8278552797915351,11,6
sick,0.8278552797915351,11,6
anxiety,0.8278552797915351,11,6
full of,0.8278552797915351,11,6
said everyone,0.8265095371974455,7,3
said coffee,0.8265095371974455,7,3
my group,0.8265095371974455,7,3
i'll continue,0.8265095371974455,7,3
is already,0.8265095371974455,7,3
chances,0.8265095371974455,7,3
off my,0.8265095371974455,7,3
the money,0.8265095371974455,7,3
withdraw,0.8265095371974455,7,3
it kills,0.8265095371974455,7,3
cold water,0.823392415224136,37,29
date,0.8216745008549226,25,18
the whole,0.8216745008549226,25,18
bed,0.8198481185418304,17,11
metabolism,0.8198481185418304,17,11
lot,0.8198481185418304,17,11
tea,0.8179109331888875,65,56
also,0.8126129616442216,26,19
kills,0.8068890895919066,41,33
wax,0.8036145249799217,18,12
thousands,0.7977573674292066,12,7
results,0.7977573674292066,12,7
mum,0.7977573674292066,12,7
is dangerous,0.7977573674292066,12,7
cough,0.7977573674292066,12,7
toxic,0.7967543815012068,28,21
save,0.7834094729421609,30,23
company,0.7775273322620623,31,24
my aunt,0.7775273322620623,31,24
months,0.7759180404596139,54,46
even,0.7745027439960157,55,47
makes them,0.7733738500901043,8,4
before bed,0.7733738500901043,8,4
said that,0.7733738500901043,8,4
try that,0.7733738500901043,8,4
it that,0.7733738500901043,8,4
do not,0.7733738500901043,8,4
to move,0.7733738500901043,8,4
the pet,0.7733738500901043,8,4
that my,0.7733738500901043,8,4
and boosts,0.7733738500901043,8,4
hit,0.7733738500901043,8,4
using the,0.7733738500901043,8,4
grounds,0.7727199075559956,13,8
works every,0.7727199075559956,13,8
moving,0.7727199075559956,13,8
keep the,0.7727199075559956,13,8
the bottom,0.7727199075559956,13,8
out of,0.7727199075559956,13,8
said after,0.7651959547207012,21,15
microwaved,0.7515994926748001,14,9
lines,0.7515994926748001,14,9
room,0.7458763659606564,23,17
so if,0.733579287597179,15,10
business,0.733579287597179,15,10
cleans,0.733579287597179,15,10
blogger,0.733579287597179,15,10
makes hair,0.7332189083570732,9,5
pharmacist said,0.7332189083570732,9,5
lock,0.7332189083570732,9,5
tiny,0.7332189083570732,9,5
mark,0.7332189083570732,9,5
vinegar cures,0.7332189083570732,9,5
cool,0.7332189083570732,9,5
the oil,0.7332189083570732,9,5
inflammation,0.7332189083570732,9,5
saves,0.7180588431643338,16,11
always works,0.7180588431643338,16,11
proof,0.7180588431643338,16,11
that and,0.7180588431643338,16,11
it was,0.7116757574990332,28,22
higher,0.7045860236202988,17,12
makes sense,0.7045860236202988,17,12
country,0.7018322543753746,10,6
the car,0.7018322543753746,10,6
disconnect,0.7018322543753746,10,6
stock,0.7018322543753746,10,6
the most,0.7018322543753746,10,6
best for,0.7018322543753746,10,6
travel agent,0.7018322543753746,10,6
tomatoes,0.7018322543753746,10,6
great i'll,0.7018322543753746,10,6
in days,0.7018322543753746,10,6
drain,0.68246881136123,19,14
said is,0.68246881136123,19,14
the first,0.6789279841450533,37,31
push,0.6766749392878839,11,7
early,0.6766749392878839,11,7
them in,0.6766749392878839,11,7
whitens,0.6766749392878839,11,7
increase,0.6766749392878839,11,7
injury,0.6766749392878839,11,7
cancel,0.6766749392878839,11,7
hot water,0.6766749392878839,11,7
of water,0.6766749392878839,11,7
came,0.6766749392878839,11,7
cider,0.6766749392878839,11,7
cider vinegar,0.6766749392878839,11,7
means the,0.6766749392878839,11,7
ones,0.6766749392878839,11,7
just as,0.6766749392878839,11,7
apple cider,0.6766749392878839,11,7
gets,0.6733365039313619,20,15
but they,0.6733365039313619,20,15
proven to,0.665242394614302,21,16
cleaner,0.665242394614302,21,16
detox,0.665242394614302,21,16
open,0.665242394614302,21,16
stops,0.665242394614302,21,16
vinegar,0.660474792191385,53,47
speed,0.6580446501522573,22,17
your phone,0.6561180118431628,12,8
write,0.6561180118431628,12,8
insomnia,0.6561180118431628,12,8
each,0.6561180118431628,12,8
well,0.6561180118431628,12,8
all parts,0.6561180118431628,12,8
my neighbor,0.6407551226416223,25,20
sugar,0.6407551226416223,25,20
dog,0.6407551226416223,25,20
summer,0.6390642042600978,13,9
cutting,0.6390642042600978,13,9
market,0.6390642042600978,13,9
twice as,0.6390642042600978,13,9
but my,0.6390642042600978,13,9
protect,0.6390642042600978,13,9
always better,0.6390642042600978,13,9
the market,0.6252012742323846,7,4
burned,0.6252012742323846,7,4
good as,0.6252012742323846,7,4
makes your,0.6252012742323846,7,4
game,0.6252012742323846,7,4
says should,0.6252012742323846,7,4
guarantees,0.6252012742323846,7,4
safe if,0.6252012742323846,7,4
hang,0.6252012742323846,7,4
empty,0.6252012742323846,7,4
and eat,0.6252012742323846,7,4
can write,0.6252012742323846,7,4
in weeks,0.6252012742323846,7,4
special,0.6252012742323846,7,4
removes all,0.6252012742323846,7,4
the new,0.6247450161668457,14,10
card,0.6219944768313652,30,25
sleep,0.6143342023260125,71,66
headline said,0.6126047717612656,15,11
static stretching,0.6126047717612656,15,11
if don't,0.6126047717612656,15,11
way,0.6049174925546704,58,53
said need,0.6029407811677355,44,39
video,0.6026190930368082,52,47
reduces puffiness,0.6023968704263549,46,41
my dad,0.6022308687100111,16,12
dad,0.6022308687100111,16,12
chocolate,0.5933099820966508,17,13
realistic,0.5933099820966508,17,13
your eyes,0.5933099820966508,17,13
quickly,0.5927674521518629,8,5
the book,0.5927674521518629,8,5
my gym,0.5927674521518629,8,5
media,0.5927674521518629,8,5
will double,0.5927674521518629,8,5
starting,0.5927674521518629,8,5
rose,0.5927674521518629,8,5
only on,0.5927674521518629,8,5
but it,0.5927674521518629,8,5
reverses,0.5927674521518629,8,5
as the,0.5927674521518629,8,5
soon,0.5927674521518629,8,5
living,0.5927674521518629,8,5
teaspoon,0.5927674521518629,8,5
my son,0.5927674521518629,8,5
sell,0.5927674521518629,8,5
two hours,0.5927674521518629,8,5
adding,0.5855995553307201,18,14
applying,0.5789086611680561,19,15
oil change,0.573084806173342,20,16
paste,0.5682016600914642,9,6
my mom,0.5682016600914642,9,6
your body,0.5682016600914642,9,6
build,0.5682016600914642,9,6
and then,0.5682016600914642,9,6
yearly,0.5682016600914642,9,6
damages,0.5682016600914642,9,6
cleanse,0.5682016600914642,9,6
save money,0.5682016600914642,9,6
rubbing,0.5682016600914642,9,6
takes,0.5682016600914642,9,6
alarm,0.5682016600914642,9,6
yellow,0.5682016600914642,9,6
taxes,0.5682016600914642,9,6
fee,0.5680046187822817,21,17
fact,0.5680046187822817,21,17
gluten,0.5680046187822817,21,17
group,0.5668737752443245,72,68
window,0.5635671419253158,22,18
per,0.5596889130436885,23,19
the right,0.5490614885319823,10,7
depression,0.5490614885319823,10,7
grain-free,0.5490614885319823,10,7
wool,0.5490614885319823,10,7
should stop,0.5490614885319823,10,7
from your,0.5490614885319823,10,7
many,0.5490614885319823,10,7
salesperson said,0.548529244066902,27,23
fully,0.5476688496814677,55,51
guaranteed,0.5465945795868861,28,24
plant,0.5449310396201699,29,25
charges,0.540772204945299,46,42
year,0.5388092978965325,41,37
fix,0.5387174082251528,37,33
five stages,0.5338346088924194,11,8
calories,0.5338346088924194,11,8
salesman,0.5338346088924194,11,8
passport,0.5338346088924194,11,8
the article,0.5338346088924194,11,8
cotton,0.5338346088924194,11,8
later,0.5338346088924194,11,8
shop,0.5334877340947157,81,78
apple,0.5215302503755423,12,9
need new,0.5215302503755423,12,9
and see,0.5215302503755423,12,9
tree,0.5215302503755423,12,9
looks,0.5215302503755423,12,9
commercial,0.5215302503755423,12,9
cold,0.5176857459248503,153,154
freelancer,0.5114699484405386,13,10
minute,0.5114699484405386,13,10
forum said,0.5114699484405386,13,10
every months,0.5114699484405386,13,10
while,0.5114699484405386,13,10
app says,0.5114699484405386,13,10
deep,0.5114699484405386,13,10
my engine,0.5031722265820504,14,11
documentary,0.5031722265820504,14,11
hiccups,0.5031722265820504,14,11
memory,0.5031722265820504,14,11
my doctor,0.496285219282605,15,12
needed,0.49231409182568103,55,52
parts,0.48939694887988916,53,50
light,0.4879650503696986,52,49
message,0.48575113523560803,17,14
app,0.48379479697525274,49,46
prevents,0.48379479697525274,49,46
feet,0.48174552953789923,18,15
stretching,0.48174552953789923,18,15
sense,0.48174552953789923,18,15
office,0.48174552953789923,18,15
during,0.4784044098871051,19,16
vegetables,0.4756282206434493,20,17
covers,0.4733361550142508,21,18
rest,0.4733361550142508,21,18
is enough,0.47193078415818096,39,36
oil every,0.47146191195135767,22,19
eyes,0.46995056314548606,23,20
every miles,0.46923537427130474,71,69
mechanic said,0.46763562494708494,92,91
dry,0.46716964057864546,26,23
slices,0.4667166120132824,27,24
milk,0.46664401787329424,31,28
bags,0.46664401787329424,31,28
i'll skip,0.46643761841558146,30,27
parents,0.46392393055375203,6,4
the dose,0.46392393055375203,6,4
is correct,0.46392393055375203,6,4
carry,0.46392393055375203,6,4
you lose,0.46392393055375203,6,4
causing,0.46392393055375203,6,4
and if,0.46392393055375203,6,4
the landlord,0.46392393055375203,6,4
handle,0.46392393055375203,6,4
deadline,0.46392393055375203,6,4
called,0.46392393055375203,6,4
on tv,0.46392393055375203,6,4
avoid the,0.46392393055375203,6,4
on instagram,0.46392393055375203,6,4
drains,0.46392393055375203,6,4
bit,0.46392393055375203,6,4
to your,0.46392393055375203,6,4
birth,0.46392393055375203,6,4
and water,0.46392393055375203,6,4
needed i'll,0.46392393055375203,6,4
to protect,0.46392393055375203,6,4
said an,0.46392393055375203,6,4
force,0.46392393055375203,6,4
said their,0.46392393055375203,6,4
first,0.44842896387766995,83,82
should take,0.44173678720359594,7,5
the company,0.44173678720359594,7,5
contractor said,0.44173678720359594,7,5
should keep,0.44173678720359594,7,5
for any,0.44173678720359594,7,5
check it,0.44173678720359594,7,5
fix my,0.44173678720359594,7,5
toddler,0.44173678720359594,7,5
said small,0.44173678720359594,7,5
flush every,0.44173678720359594,7,5
pregnant,0.44173678720359594,7,5
to cure,0.44173678720359594,7,5
social media,0.44173678720359594,7,5
extender,0.44173678720359594,7,5
auto,0.44173678720359594,7,5
exercises,0.4258138023634323,8,6
wellness influencer,0.4258138023634323,8,6
phone overnight,0.4258138023634323,8,6
writing,0.4258138023634323,8,6
hearing,0.4258138023634323,8,6
best way,0.4258138023634323,8,6
cousin,0.4258138023634323,8,6
my cousin,0.4258138023634323,8,6
loses,0.4258138023634323,8,6
fall,0.4258138023634323,8,6
can be,0.4258138023634323,8,6
rebuild,0.4258138023634323,8,6
else,0.4258138023634323,8,6
home office,0.4258138023634323,8,6
works for,0.4258138023634323,8,6
flushing,0.4258138023634323,8,6
to test,0.4258138023634323,8,6
neighbor said,0.4258138023634323,8,6
the container,0.4215851844995592,47,45
covered,0.41405059715457526,9,7
speeds,0.41405059715457526,9,7
package,0.41405059715457526,9,7
an online,0.41405059715457526,9,7
rev,0.41405059715457526,9,7
me my,0.41405059715457526,9,7
the signal,0.41405059715457526,9,7
pills,0.41405059715457526,9,7
not to,0.41405059715457526,9,7
half,0.41405059715457526,9,7
three days,0.41405059715457526,9,7
planning,0.41405059715457526,9,7
laundry,0.41405059715457526,9,7
dead battery,0.41405059715457526,9,7
gluten-free,0.41405059715457526,9,7
just use,0.4080592775248356,40,38
good to,0.4051982182006174,10,8
engine will,0.4051982182006174,10,8
pregnancy,0.4051982182006174,10,8
and will,0.4051982182006174,10,8
terminal,0.4051982182006174,10,8
injuries,0.4051982182006174,10,8
labelled,0.4051982182006174,10,8
says if,0.404671231885955,83,83
fully charges,0.4043357855148436,38,36
of driving,0.3989412824360445,35,33
mode,0.3984650662319677,11,9
ac,0.3984650662319677,11,9
things,0.3984650662319677,11,9
gives you,0.3984650662319677,11,9
pharmacist,0.3984650662319677,11,9
matter what,0.3984650662319677,11,9
high,0.3972077848407658,34,32
dangerous,0.39551367154508543,33,31
neighbour says,0.39551367154508543,33,31
should avoid,0.3933234458282093,12,10
learn,0.3933234458282093,12,10
color,0.3933234458282093,12,10
permanent,0.3933234458282093,12,10
oil is,0.3933234458282093,12,10
dishwasher,0.3933234458282093,12,10
hours of,0.39226452989024235,31,29
every years,0.3894072246525386,13,11
accept,0.3894072246525386,13,11
for everyone,0.3894072246525386,13,11
chart,0.3894072246525386,13,11
sitting,0.3894072246525386,13,11
so hours,0.3878374263751602,28,26
have to,0.3864539734421247,14,12
break,0.3864539734421247,14,12
okay but,0.3864539734421247,14,12
plumber,0.3864539734421247,14,12
colds,0.3864539734421247,14,12
rice,0.3864539734421247,14,12
premium,0.3864539734421247,14,12
microwave-safe,0.3864539734421247,14,12
tea bags,0.3852850371946864,26,24
stick to,0.3842704564103735,15,13
mold,0.3831638115350959,24,22
blue,0.3831638115350959,24,22
my grandmother,0.38271112165834253,16,14
sunscreen,0.38230539046639234,23,21
glasses,0.38230539046639234,23,21
it's required,0.38166418996864115,17,15
cold milk,0.38166418996864115,17,15
made,0.38104237053146256,18,16
apply,0.38104237053146256,18,16
times,0.38081104552892886,20,18
dark,0.38077649455447926,19,17
the,0.36825520286261043,3197,3511
buying,0.3358325217559859,37,36
charges battery,0.3303052753999843,35,34
reduces,0.32933007648618984,55,55
enough,0.3242582144604917,70,71
the battery,0.3163147238935183,30,29
better than,0.3163147238935183,30,29
shop says,0.31067699205131755,28,27
most,0.3078573311981238,27,26
says hours,0.30223203407416716,25,24
dead,0.29943461206697475,24,23
replacement,0.29943461206697475,24,23
probably,0.2966542631559953,23,22
youtube,0.2966542631559953,23,22
from the,0.2938975728706592,22,21
minutes of,0.2911725724987712,21,20
ad says,0.2911627132754622,43,43
reduce,0.28585934410174296,19,18
acid,0.283298385105401,18,17
static,0.283298385105401,18,17
so need,0.27846373033119426,16,15
at night,0.27846373033119426,16,15
washing,0.27846373033119426,16,15
ruins the,0.278107441788215,6,5
apps,0.278107441788215,6,5
issues,0.278107441788215,6,5
that possible,0.278107441788215,6,5
sets,0.278107441788215,6,5
plumber said,0.278107441788215,6,5
labels mean,0.278107441788215,6,5
should try,0.278107441788215,6,5
and stops,0.278107441788215,6,5
client,0.278107441788215,6,5
back to,0.278107441788215,6,5
him to,0.278107441788215,6,5
is necessary,0.278107441788215,6,5
instagram,0.278107441788215,6,5
faster than,0.278107441788215,6,5
hurt,0.278107441788215,6,5
on youtube,0.278107441788215,6,5
cancer and,0.278107441788215,6,5
got an,0.278107441788215,6,5
lot of,0.278107441788215,6,5
near the,0.278107441788215,6,5
them for,0.278107441788215,6,5
above,0.278107441788215,6,5
experience,0.278107441788215,6,5
back,0.2772794355730502,39,39
case,0.2762447352088177,15,14
so my,0.2762447352088177,15,14
replace the,0.2762447352088177,15,14
contract,0.2762447352088177,15,14
stages,0.2762447352088177,15,14
deduct,0.27420801597592714,14,13
said only,0.2732476959613337,7,6
in summer,0.2732476959613337,7,6
once month,0.2732476959613337,7,6
prevent eye,0.2732476959613337,7,6
flights,0.2732476959613337,7,6
repairs,0.2732476959613337,7,6
someone said,0.2732476959613337,7,6
the law,0.2732476959613337,7,6
truth,0.2732476959613337,7,6
maximum,0.2732476959613337,7,6
resume,0.2732476959613337,7,6
says an,0.2732476959613337,7,6
upgrade,0.2732476959613337,7,6
additive,0.2732476959613337,7,6
of your,0.2732476959613337,7,6
it doesn't,0.2732476959613337,7,6
perfect i'll,0.2732476959613337,7,6
you'll,0.272405967086595,13,12
the minimum,0.272405967086595,13,12
recruiter,0.272405967086595,13,12
stomach,0.27090873059137766,12,11
ai,0.27090873059137766,12,11
i'll ignore,0.27090873059137766,12,11
bread,0.27090873059137766,12,11
main,0.27090873059137766,12,11
for six,0.2705987410190202,8,7
has no,0.2705987410190202,8,7
the agent,0.2705987410190202,8,7
microwave-safe plastic,0.2705987410190202,8,7
jump,0.2705987410190202,8,7
panels,0.2705987410190202,8,7
changes every,0.2705987410190202,8,7
it before,0.2705987410190202,8,7
release,0.2705987410190202,8,7
to clean,0.2705987410190202,8,7
revving,0.2705987410190202,8,7
magnesium,0.2705987410190202,8,7
anyone,0.2705987410190202,8,7
financial,0.2698121299432949,11,10
it with,0.2698121299432949,11,10
change engine,0.2698121299432949,11,10
raise,0.2698121299432949,11,10
the podcast,0.26941633003753035,9,8
the router,0.26941633003753035,9,8
and must,0.26941633003753035,9,8
scientifically,0.26941633003753035,9,8
need oil,0.26941633003753035,9,8
it says,0.26941633003753035,9,8
sun,0.26941633003753035,9,8
week is,0.2692502649484985,10,9
years and,0.2692502649484985,10,9
blogger says,0.2692502649484985,10,9
every year,0.2692502649484985,10,9
soaking,0.2692502649484985,10,9
replaced,0.2692502649484985,10,9
cats,0.2692502649484985,10,9
off the,0.2692502649484985,10,9
won't,0.26537808140390623,52,53
of the,0.25504573800822267,33,33
driving fully,0.25114934338102374,32,32
together reduces,0.24719168738544006,31,31
using cold,0.24719168738544006,31,31
long,0.24316977889594488,30,30
brand,0.23908037528237938,29,29
vitamin,0.23908037528237938,29,29
hair,0.22681433564296677,42,43
system,0.2219722908413266,25,25
under,0.2219722908413266,25,25
is extra,0.2174855154652917,24,24
spoons,0.21290437847923205,23,23
score,0.21290437847923205,23,23
change,0.2118760676166049,65,68
cucumber slices,0.20822265177821223,22,22
gym,0.2034333906906566,21,21
friend says,0.20325380752667635,164,176
if you,0.20009751813644158,62,65
and cold,0.19852881296073416,20,20
post,0.1959400736328627,73,77
puffiness better,0.19350015011252938,19,19
or my,0.19350015011252938,19,19
call,0.18833746307823077,18,18
battery,0.18652147687578413,137,147
cold tea,0.18302941099192024,17,17
enough i'll,0.18146885182224126,32,33
grandmother,0.17756295773162803,16,16
you don't,0.17756295773162803,16,16
cold cucumber,0.17192299440954462,15,15
coworker says,0.17192299440954462,15,15
first miles,0.17192299440954462,15,15
lowers,0.17192299440954462,15,15
is on,0.17124255187114007,30,31
replacement need,0.1660918463681797,14,14
says minutes,0.1660918463681797,14,14
website,0.1660918463681797,14,14
should always,0.1660918463681797,14,14
wash,0.1660918463681797,14,14
that makes,0.1660918463681797,14,14
schedule,0.16594503377354394,29,30
chemicals,0.1600486183166579,13,13
puffiness best,0.1600486183166579,13,13
on the,0.1589586854077968,75,80
wear,0.15493829700213677,27,28
use the,0.15493829700213677,27,28
that in,0.15376830749186374,12,12
pet store,0.15376830749186374,12,12
no matter,0.15376830749186374,12,12
worker,0.15376830749186374,12,12
replacing every,0.15376830749186374,12,12
need an,0.15376830749186374,12,12
travel,0.1492089321703206,26,27
agent,0.1492089321703206,26,27
spoons and,0.14722057573057418,11,11
bags together,0.14722057573057418,11,11
label the,0.14722057573057418,11,11
wedding,0.14722057573057418,11,11
bacteria,0.14722057573057418,11,11
safe for,0.14722057573057418,11,11
two years,0.14722057573057418,11,11
my credit,0.14722057573057418,11,11
i'll drive,0.14647933761816806,38,40
putting,0.14119001257201788,37,39
container is,0.14119001257201788,37,39
says my,0.1403680049391129,10,10
workout,0.1403680049391129,10,10
soft,0.1403680049391129,10,10
believe,0.1403680049391129,10,10
months is,0.1403680049391129,10,10
entire,0.1403680049391129,10,10
for hours,0.1403680049391129,10,10
rinse,0.1403680049391129,10,10
facebook,0.1331635425417752,9,9
password,0.1331635425417752,9,9
tyre shop,0.1331635425417752,9,9
says applying,0.1331635425417752,9,9
the day,0.1331635425417752,9,9
setting,0.1331635425417752,9,9
eyes reduces,0.1331635425417752,9,9
for an,0.1331635425417752,9,9
water on,0.1331635425417752,9,9
itself,0.1331635425417752,9,9
weak,0.1331635425417752,9,9
book says,0.1331635425417752,9,9
mattress,0.1331635425417752,9,9
brands,0.1331635425417752,9,9
cloud,0.1331635425417752,9,9
cucumber,0.130968794822189,23,24
chat,0.1255466234927602,8,8
slices and,0.1255466234927602,8,8
tiktok says,0.1255466234927602,8,8
agent says,0.1255466234927602,8,8
known,0.1255466234927602,8,8
caused,0.1255466234927602,8,8
foam,0.1255466234927602,8,8
stretching before,0.1255466234927602,8,8
the main,0.1255466234927602,8,8
inspection,0.1255466234927602,8,8
breaks,0.1255466234927602,8,8
destroy,0.1255466234927602,8,8
small,0.1245976982550817,34,36
should never,0.12448719200142455,22,23
running,0.11777391378582755,21,22
leaves,0.1174370198531575,7,7
whitens teeth,0.1174370198531575,7,7
smell,0.1174370198531575,7,7
up to,0.1174370198531575,7,7
kills all,0.1174370198531575,7,7
your car,0.1174370198531575,7,7
dirty,0.1174370198531575,7,7
ignore it,0.1174370198531575,7,7
synthetic oil,0.1174370198531575,7,7
freezing,0.1174370198531575,7,7
water cold,0.1174370198531575,7,7
milk together,0.1174370198531575,7,7
it's real,0.1174370198531575,7,7
saw post,0.1174370198531575,7,7
leaks,0.1174370198531575,7,7
go to,0.1174370198531575,7,7
are safe,0.1174370198531575,7,7
cv,0.1174370198531575,7,7
to change,0.11080622051866598,20,21
doctor said,0.10872454158962519,6,6
others,0.10872454158962519,6,6
tip,0.10872454158962519,6,6
slices together,0.10872454158962519,6,6
know that,0.10872454158962519,6,6
coverage,0.10872454158962519,6,6
sides the,0.10872454158962519,6,6
course,0.10872454158962519,6,6
corrosion,0.10872454158962519,6,6
headache,0.10872454158962519,6,6
said most,0.10872454158962519,6,6
says microwave-safe,0.10872454158962519,6,6
my oil,0.10872454158962519,6,6
